,r,beta,model_name,Spectrum RMSE (eV),Spectrum RMSE*<kt>/kT,dloss/z,trace,t_1,doccp,t_2,hophop,sisj,densityNN,densityNNN,density_hopNN,density_NN_hopNN,hopNN_hopNN_ijik,hopNN_hopNN_ijjk,ring_ijkl,ring_ijlk
0,3.2,0.2,"trace,t_1-doccp,densityNN,densityNNN",0.291669144,0.009491948,0.381916518,-12.7576821,-2.115406631,8.84377472,,,,1.302565941,-1.710411656,,,,,,
1,4,0.2,"trace,t_1-doccp,densityNN,densityNNN",0.171691597,0.004991231,0.156954773,-13.43633762,-1.132543537,9.326394057,,,,1.537645731,-1.428127114,,,,,,
2,4.8,0.2,"trace,t_1-doccp,densityNN,densityNNN",0.172956293,0.002007885,0.180187484,-17.36523101,-0.639997953,11.1227578,,,,2.294012757,1.750282627,,,,,,
3,3.2,0.1,"trace,t_1-doccp,densityNN,hopNN_hopNN_ijjk",0.31557122,0.009910624,0.410773021,-13.79730894,-2.042505428,9.015853626,,,,0.566408656,,,,,-0.168289263,,
4,3.2,0.125,"trace,t_1-doccp,densityNN,hopNN_hopNN_ijjk",0.315921187,0.010312741,0.410760769,-13.80617087,-2.043799037,9.023285609,,,,0.575277441,,,,,-0.166973579,,
5,3.2,0.15,"trace,t_1-doccp,densityNN,hopNN_hopNN_ijjk",0.316233597,0.010353739,0.410744274,-13.8149857,-2.044873371,9.030134809,,,,0.584108036,,,,,-0.165906904,,
6,3.2,0.3,"trace,t_1-doccp,densityNN,hopNN_hopNN_ijjk",0.238999412,0.008620458,0.363655597,-16.27092494,-1.972785188,9.945295384,,,,3.091103395,,,,,-0.157445043,,
7,3.2,0.4,"trace,t_1-doccp,densityNN,hopNN_hopNN_ijjk",0.321787392,0.005845315,0.40393468,-14.91783104,-1.983549447,9.404099944,,,,1.690682552,,,,,-0.181981081,,
8,3.2,0.6,"trace,t_1-doccp,densityNN,hopNN_hopNN_ijjk",0.330686724,0.003589602,0.411108073,-14.82734838,-1.981246961,9.388270668,,,,1.595276714,,,,,-0.189155298,,
9,3.2,1,"trace,t_1-doccp,densityNN,hopNN_hopNN_ijjk",0.319773575,0.001749,0.436949594,-16.26245704,-1.912911374,10.1068243,,,,3.024689282,,,,,-0.184774847,,
